Country,2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote
Afghanistan,15.52 ,5.86 , 46.45,,14.98 ,5.61 , 51.31,,15.47 ,5.75 , 54.84,,14.60 ,5.65 , 52.03,,13.89 ,5.08 , 57.17,,13.56 ,5.04 , 51.53,,13.63 ,4.80 , 54.85,,13.44 ,4.46 , 57.02,,12.61 ,4.11 , 53.64,,11.78 ,3.95 , 48.29,,11.40 ,4.04 , 44.22,,11.21 ,4.12 , 41.88,,11.36 ,4.34 , 41.56,,11.02 ,3.95 , 40.52,,11.10 ,3.99 , 41.65,,10.93 ,4.04 , 42.44,,10.47 ,3.77 , 40.58,,9.90 ,3.29 , 40.42,,10.11 ,3.12 , 44.39,,10.35 ,3.06 , 48.19,,9.89 ,3.03 , 50.45,,10.00 ,3.08 , 54.50,,10.45 ,3.34 , 60.86,
Albania,25.95 ,20.61 , 34.35,"Children estimates were not available at the time of publication.",25.31 ,19.75 , 32.72,"Children estimates were not available at the time of publication.",24.75 ,19.70 , 31.31,"Children estimates were not available at the time of publication.",23.85 ,19.25 , 29.29,"Children estimates were not available at the time of publication.",22.30 ,18.24 , 26.35,"Children estimates were not available at the time of publication.",20.44 ,16.85 , 24.31,"Children estimates were not available at the time of publication.",18.89 ,15.67 , 22.81,"Children estimates were not available at the time of publication.",17.45 ,14.31 , 21.37,"Children estimates were not available at the time of publication.",15.88 ,13.01 , 19.59,"Children estimates were not available at the time of publication.",14.33 ,11.67 , 17.73,"Children estimates were not available at the time of publication.",12.88 ,10.38 , 16.03,"Children estimates were not available at the time of publication.",11.63 ,9.37 , 13.88,"Children estimates were not available at the time of publication.",10.59 ,8.52 , 12.66,"Children estimates were not available at the time of publication.",9.49 ,7.67 , 11.20,"Children estimates were not available at the time of publication.",8.55 ,6.77 , 10.24,"Children estimates were not available at the time of publication.",7.77 ,5.83 , 9.18,"Children estimates were not available at the time of publication.",7.01 ,5.34 , 8.51,"Children estimates were not available at the time of publication.",6.42 ,4.68 , 7.92,"Children estimates were not available at the time of publication.",5.85 ,3.95 , 7.37,"Children estimates were not available at the time of publication.",5.44 ,3.60 , 6.91,"Children estimates were not available at the time of publication.",5.08 ,3.29 , 6.58,"Children estimates were not available at the time of publication.",4.67 ,2.92 , 6.13,"Children estimates were not available at the time of publication.",4.28 ,2.65 , 5.85,"Children estimates were not available at the time of publication."
Algeria,16.60 ,15.63 , 17.70,,16.52 ,15.61 , 17.52,,16.30 ,15.39 , 17.21,,16.15 ,15.32 , 16.97,,16.01 ,15.17 , 16.76,,15.80 ,14.92 , 16.56,,15.53 ,14.66 , 16.29,,15.15 ,14.29 , 15.86,,14.96 ,14.06 , 15.73,,14.91 ,13.99 , 15.65,,14.41 ,13.42 , 15.14,,13.84 ,12.85 , 14.59,,13.61 ,12.57 , 14.41,,13.06 ,12.07 , 13.86,,12.51 ,11.49 , 13.32,,11.76 ,10.78 , 12.61,,10.79 ,9.81 , 11.65,,9.94 ,8.92 , 10.84,,9.35 ,8.28 , 10.26,,8.79 ,7.67 , 9.76,,8.46 ,7.32 , 9.56,,8.30 ,7.08 , 9.43,,8.01 ,6.68 , 9.25,
Angola,17.41 ,13.63 , 21.91,,16.61 ,13.51 , 20.26,,15.95 ,13.24 , 19.31,,15.69 ,13.30 , 18.62,,15.17 ,13.03 , 18.08,,14.39 ,12.46 , 17.08,,13.79 ,11.88 , 16.56,,13.17 ,11.07 , 15.78,,12.52 ,10.50 , 15.18,,11.81 ,9.94 , 14.24,,11.03 ,9.29 , 13.31,,10.62 ,8.91 , 12.78,,10.00 ,8.40 , 12.21,,8.97 ,7.59 , 11.08,,7.89 ,6.55 , 9.91,,7.43 ,6.15 , 9.25,,7.20 ,5.86 , 8.96,,6.97 ,5.64 , 8.74,,6.51 ,5.28 , 8.25,,5.95 ,4.64 , 7.67,,5.63 ,4.31 , 7.26,,5.21 ,3.89 , 6.96,,4.94 ,3.54 , 6.67,
Argentina,9.44 ,8.19 , 10.49,,8.67 ,7.51 , 9.53,,8.11 ,7.01 , 8.88,,7.66 ,6.65 , 8.32,,7.28 ,6.34 , 7.92,,6.94 ,6.02 , 7.55,,6.65 ,5.80 , 7.26,,6.38 ,5.53 , 6.97,,6.07 ,5.28 , 6.68,,5.80 ,5.02 , 6.43,,5.54 ,4.79 , 6.21,,5.28 ,4.57 , 5.93,,5.05 ,4.35 , 5.73,,4.84 ,4.16 , 5.55,,4.62 ,3.96 , 5.36,,4.42 ,3.77 , 5.15,,4.22 ,3.56 , 4.96,,4.02 ,3.36 , 4.79,,3.82 ,3.17 , 4.58,,3.62 ,2.97 , 4.42,,3.40 ,2.76 , 4.20,,3.17 ,2.53 , 3.96,,2.93 ,2.29 , 3.74,
Armenia,41.38 ,20.69 , 74.14,,38.73 ,21.97 , 58.38,,35.66 ,24.18 , 48.77,,32.01 ,23.78 , 44.21,,30.56 ,22.45 , 42.36,,29.68 ,20.14 , 43.64,,28.40 ,18.48 , 41.71,,26.94 ,18.32 , 40.15,,25.19 ,18.30 , 35.83,,23.40 ,17.71 , 30.56,,21.70 ,17.31 , 27.99,,20.05 ,15.41 , 25.17,,18.47 ,14.65 , 23.68,,17.00 ,13.81 , 22.59,,15.64 ,12.94 , 21.28,,14.43 ,11.82 , 18.67,,13.23 ,10.63 , 17.43,,12.25 ,9.65 , 16.46,,11.36 ,8.42 , 15.39,,10.60 ,7.17 , 15.00,,9.89 ,6.34 , 14.95,,9.34 ,5.30 , 14.97,,8.76 ,4.23 , 15.77,
Australia,6.34 ,6.11 , 6.60,"Children estimates were not available at the time of publication.",6.33 ,6.12 , 6.55,"Children estimates were not available at the time of publication.",6.24 ,6.05 , 6.46,"Children estimates were not available at the time of publication.",6.15 ,5.95 , 6.37,"Children estimates were not available at the time of publication.",6.02 ,5.82 , 6.24,"Children estimates were not available at the time of publication.",5.89 ,5.67 , 6.11,"Children estimates were not available at the time of publication.",5.72 ,5.50 , 5.95,"Children estimates were not available at the time of publication.",5.59 ,5.39 , 5.81,"Children estimates were not available at the time of publication.",5.48 ,5.28 , 5.69,"Children estimates were not available at the time of publication.",5.36 ,5.16 , 5.55,"Children estimates were not available at the time of publication.",5.23 ,5.06 , 5.40,"Children estimates were not available at the time of publication.",5.09 ,4.95 , 5.25,"Children estimates were not available at the time of publication.",4.92 ,4.80 , 5.06,"Children estimates were not available at the time of publication.",4.77 ,4.63 , 4.93,"Children estimates were not available at the time of publication.",4.60 ,4.40 , 4.79,"Children estimates were not available at the time of publication.",4.34 ,4.10 , 4.59,"Children estimates were not available at the time of publication.",4.05 ,3.81 , 4.30,"Children estimates were not available at the time of publication.",3.65 ,3.40 , 3.90,"Children estimates were not available at the time of publication.",3.17 ,2.90 , 3.47,"Children estimates were not available at the time of publication.",2.61 ,2.20 , 3.04,"Children estimates were not available at the time of publication.",1.95 ,1.38 , 2.55,"Children estimates were not available at the time of publication.",1.19 ,0.46 , 1.94,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,26.64 ,17.07 , 36.42,,23.47 ,17.26 , 30.43,,20.84 ,15.80 , 26.43,,19.25 ,14.43 , 25.25,,17.12 ,12.80 , 22.37,,15.30 ,11.67 , 19.75,,13.85 ,10.74 , 17.55,,12.54 ,9.86 , 15.93,,11.22 ,8.92 , 14.23,,10.28 ,8.15 , 12.88,,9.71 ,7.73 , 12.09,,8.48 ,6.58 , 10.62,,7.88 ,6.22 , 10.17,,7.48 ,5.98 , 9.71,,6.92 ,5.55 , 8.87,,6.46 ,5.24 , 8.15,,5.91 ,4.73 , 7.45,,5.92 ,4.72 , 7.48,,6.13 ,4.73 , 8.17,,5.89 ,4.30 , 8.33,,5.71 ,3.93 , 8.01,,5.33 ,3.53 , 7.42,,5.28 ,3.46 , 7.45,
Bahamas,8.30 ,7.50 , 9.33,,7.74 ,6.98 , 8.68,,7.25 ,6.56 , 8.12,,6.70 ,6.04 , 7.52,,6.25 ,5.57 , 7.00,,5.91 ,5.19 , 6.63,,5.13 ,4.37 , 5.86,,4.91 ,4.18 , 5.59,,4.50 ,3.74 , 5.17,,4.20 ,3.46 , 4.84,,3.94 ,3.21 , 4.59,,3.67 ,2.97 , 4.33,,3.19 ,2.50 , 3.85,,2.90 ,2.23 , 3.53,,2.77 ,2.07 , 3.52,,2.71 ,2.03 , 3.41,,2.40 ,1.76 , 3.08,,2.26 ,1.65 , 2.98,,2.06 ,1.47 , 2.78,,1.92 ,1.38 , 2.63,,1.84 ,1.29 , 2.56,,1.76 ,1.23 , 2.46,,1.57 ,1.06 , 2.26,
