Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Afghanistan,AFG,..,87.1578290518573,11.5017605507801,12.6553350960174,14.1533392767608,27.4629854331431,29.0770272917953,22.4021474376735,14.2025372213781,8.42704502562001,6.25162836523018,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Algeria,DZA,..,0.0188084201978093,0.00358397889753225,0,0,0,0,0,0,0,0,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Angola,AGO,..,325.703607159462,160.698354452946,166.779669623079,176.683541107961,189.452176827223,208.948763026604,214.247213069016,227.253732950003,251.582321424507,254.873117098939,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Argentina,ARG,..,2.37384881820095,0,0,0,0,0,0,0,0,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Armenia,ARM,..,0.0445002292866424,..,0,0,0,0,0,0,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Australia,AUS,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Azerbaijan,AZE,..,8.10077663409015,0,0,0,0,0,0,0,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Bangladesh,BGD,..,6.81074891316382,1.90752068739815,3.95181591886428,2.67967533021174,1.84039528252113,1.91582740367192,0.704337582065953,1.19126018887896,0.419102078379699,0.492782390832556,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Barbados,BRB,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Belarus,BLR,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Belize,BLZ,..,8.95828309621413,0.0840922660342928,0.0781536006186475,0.0362450163102573,0.0157825169168853,0.0270753235501164,0.0113798008534851,0,0,0,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Benin,BEN,..,412.44634377452,364.117694420166,369.022757187953,389.70726849696,419.330227080879,420.503313894315,408.066858487073,401.714779384699,378.154274066621,383.450662639038,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Bhutan,BTN,..,13.6583412537138,0.0278098621187036,0.0348685273002217,0.0618157091898142,0.0270356492070444,0.019659392095852,0.0106392222019289,0.00352162896469391,0.0384848177394018,0.0156429513730166,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Bolivia,BOL,..,11.7096733645783,2.2376170383889,2.21979526760001,1.85143298726874,1.46975590700966,1.19411144037789,1.37474495338135,2.36832619192089,3.04815553903379,2.7244058222359,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Botswana,BWA,..,16.7220399735885,0.493193923850858,1.38530773049759,0.297719923417275,0.631570578172408,1.84190744493588,0.497158872409221,0.156282810339043,1.05199995498198,0.621768783594162,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Brazil,BRA,..,21.3083917183528,4.82738294568896,3.54941423612453,3.95141252752549,3.14394274500717,5.2192590619221,5.12877211317562,4.15543161082998,3.86130878850313,3.72380182017546,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Burkina Faso,BFA,..,599.3173545017,488.774131331051,447.606368839091,419.282114240716,374.321120004267,357.614175298089,357.025623452757,356.663249273088,377.402134851017,376.771822989732,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Burundi,BDI,..,448.439587491968,175.226809944887,182.626859317462,199.915205793749,231.692858519239,250.531728792902,288.499593508385,298.872119350176,303.437816662489,291.444739245522,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Cabo Verde,CPV,..,1.20861135591086,0.156713015728288,0.183125673515097,0.0487590813789068,0.33750740449918,2.87974511192201,0.0134669252316311,0,0,0,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Cambodia,KHM,..,78.0727867549449,15.9136470227784,22.3529244430826,20.0710475663934,11.2345761804396,18.1054484987634,24.0249440389775,12.2206901004235,3.7376802339144,1.62501403262354,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Cameroon,CMR,..,406.436921109858,262.003249687397,261.23711545471,260.553914573752,258.387508577015,252.173517351981,247.997068838432,242.260749024332,249.184555953308,245.084310870387,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Canada,CAN,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Central African Republic,CAF,..,441.964267319631,371.190291246857,362.654790777504,346.442857394032,334.120298839738,328.699399459054,324.667220272696,322.872751481029,335.994470951376,334.707661137384,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Chad,TCD,..,270.008463474869,192.50097984331,190.798992011855,191.757011789011,194.865701515398,198.494611772614,208.387057003926,205.511555346331,208.56210903152,206.362195817226,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Chile,CHL,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,China,CHN,..,0.0151795581994977,0.000144219235451123,9.1487516889955E-05,6.69091777805985E-05,1.70561642175678E-06,0,0,0,0,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Colombia,COL,..,24.2713582077896,7.06737598975599,5.51807958753749,8.1328924266064,10.958932691952,7.56340092311923,8.60054415328542,10.7786074868216,9.40052621874661,8.97989882028901,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Comoros,COM,..,66.3315684163068,76.0030483576473,3.08279178071457,1.78029514554598,1.53169523687004,4.24071506596084,19.5616974081331,22.2494456286205,5.63903712138691,12.8245854252244,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,"Congo, Dem. Rep.",COD,..,469.523731159233,326.492089189163,307.504659778931,295.763539264582,297.480538689442,308.210408471007,320.878874192655,320.674687630789,324.207426413611,318.252525395375,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,"Congo, Rep.",COG,..,353.415570367865,219.195015146852,213.122674226839,210.902960398358,217.142899007177,233.140009863826,242.959738374604,237.739988615502,228.694354118271,219.343651930856,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Costa Rica,CRI,..,1.34916138741754,0,0,0,0.00231104198527751,0.00686560127791725,0.0396767816008561,0.0533832026100453,0.0501927961068237,0.104773921161228,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Cote d'Ivoire,CIV,..,496.975059629147,290.766081031211,258.993694259882,239.805583313627,242.342843214452,250.687378823323,264.02044278047,274.750538788488,275.941367584932,270.874111042305,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Croatia,HRV,..,..,..,..,..,..,..,..,..,..,..,..
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
